name,game_date,period,toulan_cengong,x,y
Zaza Pachulia,10/25/16,3,1,12,7
Anthony Davis,10/26/16,1,0,0,1
Anthony Davis,10/26/16,1,1,0,1
Cody Zeller,10/26/16,1,1,0,2
Nicolas Batum,10/26/16,2,0,0,7
J.J. Barea,10/26/16,2,1,12,0
Eric Gordon,10/26/16,4,0,11,11
Anthony Davis,10/26/16,4,1,1,23
Anthony Davis,10/26/16,1,1,0,1
Jonas Valanciunas,10/26/16,1,1,0,1
DeMar DeRozan,10/26/16,3,1,0,1
Jonas Valanciunas,10/26/16,2,1,0,1
J.J. Barea,10/26/16,2,1,-11,21
Eric Gordon,10/26/16,2,1,0,1
Jonas Valanciunas,10/26/16,2,1,9,28
J.J. Barea,10/26/16,1,1,-4,2
DeMar DeRozan,10/26/16,1,1,45,18
Marvin Williams,10/26/16,1,1,110,72
DeMar DeRozan,10/26/16,3,0,48,21
DeMar DeRozan,10/26/16,1,1,9,41
DeMarre Carroll,10/26/16,3,0,45,11
Kyle Lowry,10/26/16,4,0,56,43
DeMar DeRozan,10/26/16,3,1,14,46
Cory Joseph,10/26/16,2,0,-38,90
Kemba Walker,10/26/16,1,1,46,36
Jonas Valanciunas,10/26/16,3,1,19,21
Kyle Lowry,10/26/16,4,0,25,27
Jeremy Lin,10/26/16,4,1,9,-6
Jeremy Lin,10/26/16,2,0,-11,3
Jonas Valanciunas,10/26/16,4,1,9,38
J.J. Barea,10/26/16,2,0,28,-1
J.J. Barea,10/26/16,3,0,4,3
J.J. Barea,10/26/16,3,0,42,2
Cory Joseph,10/26/16,4,1,-7,0
DeMar DeRozan,10/26/16,3,1,38,7
Eric Gordon,10/26/16,2,1,10,26
DeMar DeRozan,10/26/16,1,1,42,13
Deron Williams,10/26/16,2,0,9,2
Deron Williams,10/26/16,5,0,4,31
Jeremy Lin,10/26/16,1,1,6,11
Cory Joseph,10/26/16,2,1,4,0
Deron Williams,10/26/16,4,0,-6,16
DeMar DeRozan,10/26/16,1,1,22,3
Wesley Matthews,10/26/16,2,0,-11,-1
Eric Gordon,10/26/16,3,1,13,8
J.J. Barea,10/26/16,2,1,-19,0
Kyle Lowry,10/26/16,3,1,-11,7
Wesley Matthews,10/26/16,1,0,-14,7
Omer Asik,10/26/16,1,1,0,1
Jonas Valanciunas,10/26/16,4,1,0,1
Anthony Davis,10/26/16,4,1,0,1
Cody Zeller,10/26/16,1,1,0,1
Kyle Lowry,10/26/16,1,0,1,51
Dirk Nowitzki,10/26/16,2,0,-125,-1
DeMar DeRozan,10/26/16,3,1,-137,26
Jeremy Lin,10/26/16,2,0,84,26
Wesley Matthews,10/26/16,5,0,87,110
Anthony Davis,10/26/16,2,1,-1,23
J.J. Barea,10/26/16,4,1,7,2
Cody Zeller,10/26/16,1,1,-47,33
Anthony Davis,10/26/16,3,1,15,67
Luis Scola,10/26/16,3,0,-19,254
Kyle Lowry,10/26/16,1,0,-151,61
Dirk Nowitzki,10/26/16,4,0,-142,223
Kyle Lowry,10/26/16,2,0,-210,144
Patrick Patterson,10/26/16,1,0,140,144
Nicolas Batum,10/26/16,2,0,-237,-6
Nicolas Batum,10/26/16,3,0,-232,149
Luis Scola,10/26/16,3,0,-240,2
Marvin Williams,10/26/16,1,1,-4,273
Omer Asik,10/26/16,3,0,28,21
DeMarre Carroll,10/26/16,4,1,-214,134
Dirk Nowitzki,10/26/16,1,0,233,-16
Anthony Davis,10/26/16,2,1,-112,129
Anthony Davis,10/26/16,1,1,45,193
Marvin Williams,10/26/16,4,1,45,262
DeMarre Carroll,10/26/16,4,0,-24,257
Anthony Davis,10/26/16,1,1,6,72
Kemba Walker,10/26/16,1,1,215,120
Dante Cunningham,10/26/16,4,0,233,0
DeMar DeRozan,10/26/16,1,0,127,129
Eric Gordon,10/26/16,4,0,-21,261
Anthony Davis,10/26/16,1,1,146,46
Nicolas Batum,10/26/16,3,0,-225,154
J.J. Barea,10/26/16,4,0,166,195
Eric Gordon,10/26/16,2,0,-16,41
Wesley Matthews,10/26/16,4,0,-215,169
Marvin Williams,10/26/16,4,0,173,31
Anthony Davis,10/26/16,4,0,173,56
Anthony Davis,10/26/16,4,1,-115,13
Marvin Williams,10/26/16,1,1,-110,169
Eric Gordon,10/26/16,2,1,124,238
Marvin Williams,10/26/16,1,0,0,272
Eric Gordon,10/26/16,4,0,241,0
Deron Williams,10/26/16,4,0,-109,-10
Kyle Lowry,10/26/16,2,0,97,237
Jeremy Lin,10/26/16,3,0,73,247
Anthony Davis,10/26/16,4,1,-138,124
Anthony Davis,10/26/16,1,0,73,234
Deron Williams,10/26/16,1,1,223,-5
Jeremy Lamb,10/26/16,2,0,125,0
Anthony Davis,10/26/16,1,1,-165,115
J.J. Barea,10/26/16,5,0,127,234
DeMar DeRozan,10/26/16,3,0,33,51
Kemba Walker,10/26/16,4,0,84,41
Patrick Patterson,10/26/16,3,0,-228,-15
Kemba Walker,10/26/16,2,1,2,282
Kemba Walker,10/26/16,2,0,-92,56
Kemba Walker,10/26/16,3,1,-29,272
Anthony Davis,10/26/16,2,1,-14,159
Marvin Williams,10/26/16,3,0,82,100
Marvin Williams,10/26/16,3,0,64,198
Anthony Davis,10/26/16,3,0,-83,72
Anthony Davis,10/26/16,1,0,150,65
Wesley Matthews,10/26/16,5,0,-202,242
Dirk Nowitzki,10/26/16,3,0,-99,242
J.J. Barea,10/26/16,2,0,174,214
Eric Gordon,10/26/16,4,0,-152,222
Wesley Matthews,10/26/16,1,0,-12,267
Anthony Davis,10/26/16,1,0,-76,51
Anthony Davis,10/26/16,4,0,-61,38
Anthony Davis,10/26/16,1,1,-110,26
Nicolas Batum,10/26/16,2,1,-210,169
Anthony Davis,10/26/16,4,0,-19,43
Eric Gordon,10/26/16,3,0,248,-16
Jeremy Lin,10/26/16,2,0,66,178
Deron Williams,10/26/16,3,0,179,165
Kyle Lowry,10/26/16,3,0,233,3
Dirk Nowitzki,10/26/16,2,0,-79,259
Eric Gordon,10/26/16,2,1,8,271
Dirk Nowitzki,10/26/16,2,1,-243,-19
Dirk Nowitzki,10/26/16,2,0,-173,-10
Kemba Walker,10/26/16,3,0,-176,218
Dirk Nowitzki,10/26/16,4,0,125,242
Patrick Patterson,10/26/16,4,1,-56,80
Jonas Valanciunas,10/26/16,4,1,63,141
Marvin Williams,10/26/16,2,1,-192,183
Dwight Powell,10/26/16,4,0,0,193
Jonas Valanciunas,10/26/16,3,0,-109,46
Deron Williams,10/26/16,1,1,-145,223
Jeremy Lin,10/26/16,3,1,202,159
Anthony Davis,10/26/16,2,0,-148,18
DeMar DeRozan,10/26/16,3,0,220,154
Jeremy Lin,10/26/16,3,1,-9,259
DeMar DeRozan,10/26/16,4,0,184,200
Jonas Valanciunas,10/26/16,2,1,112,129
Wesley Matthews,10/26/16,1,0,-156,218
DeMarre Carroll,10/26/16,2,0,245,51
Dirk Nowitzki,10/26/16,4,1,-119,151
Luis Scola,10/26/16,2,0,69,237
Deron Williams,10/26/16,3,1,200,164
J.J. Barea,10/26/16,4,0,-161,203
Deron Williams,10/26/16,2,0,169,213
Nicolas Batum,10/26/16,3,0,84,244
Deron Williams,10/26/16,1,0,-11,52
Wesley Matthews,10/26/16,4,1,-219,164
Wesley Matthews,10/26/16,3,0,-143,52
Kemba Walker,10/26/16,1,0,155,205
J.J. Barea,10/26/16,5,0,-70,170
Luis Scola,10/26/16,1,0,-88,242
Dirk Nowitzki,10/26/16,3,1,174,193
Dirk Nowitzki,10/26/16,2,0,-110,134
Anthony Davis,10/26/16,1,0,105,183
Kyle Lowry,10/26/16,3,0,-217,-11
Anthony Davis,10/26/16,2,0,101,232
Deron Williams,10/26/16,4,0,141,228
DeMarre Carroll,10/26/16,3,0,209,51
Kemba Walker,10/26/16,2,0,168,198
Nicolas Batum,10/26/16,4,0,64,257
Dirk Nowitzki,10/26/16,4,1,-4,272
Kemba Walker,10/26/16,2,0,6,33
Deron Williams,10/26/16,2,1,218,115
DeMarre Carroll,10/26/16,2,0,-209,154
Patrick Patterson,10/26/16,4,0,-91,242
Kemba Walker,10/26/16,4,0,-194,213
Dante Cunningham,10/26/16,2,0,-73,75
J.J. Barea,10/26/16,4,1,112,242
Kemba Walker,10/26/16,4,0,63,154
DeMarre Carroll,10/26/16,2,0,250,41
DeMar DeRozan,10/26/16,2,0,-219,41
Wesley Matthews,10/26/16,4,0,215,149
Wesley Matthews,10/26/16,4,0,227,129
DeMar DeRozan,10/26/16,1,0,155,106
Nicolas Batum,10/26/16,3,0,-228,165
Eric Gordon,10/26/16,2,0,112,232
Deron Williams,10/26/16,3,1,-151,219
Luis Scola,10/26/16,4,1,228,56
Wesley Matthews,10/26/16,3,0,35,277
Wesley Matthews,10/26/16,2,0,-183,214
Dirk Nowitzki,10/26/16,2,1,-30,264
Eric Gordon,10/26/16,3,0,-134,236
Anthony Davis,10/26/16,2,0,101,18
Anthony Davis,10/26/16,2,0,-17,8
Jeremy Lin,10/26/16,3,0,-6,13
Anthony Davis,10/26/16,3,0,24,8
Cody Zeller,10/26/16,1,0,-2,3
Jeremy Lamb,10/26/16,4,0,-6,2
Anthony Davis,10/26/16,1,0,-12,2
Anthony Davis,10/26/16,3,1,-19,7
Jeremy Lin,10/26/16,1,0,-16,11
Omer Asik,10/26/16,1,0,-29,7
Cory Joseph,10/26/16,2,0,-14,21
Cody Zeller,10/26/16,2,1,-6,7
Anthony Davis,10/26/16,2,1,-7,3
Marvin Williams,10/26/16,4,0,4,11
Anthony Davis,10/26/16,4,0,-12,8
Deron Williams,10/26/16,1,1,6,7
Anthony Davis,10/26/16,2,0,-19,11
Nicolas Batum,10/26/16,3,1,-7,3
Marvin Williams,10/26/16,1,0,-12,3
Jeremy Lamb,10/26/16,2,0,4,16
Wesley Matthews,10/26/16,2,1,6,7
Patrick Patterson,10/26/16,2,0,40,149
Jeremy Lin,10/26/16,1,0,76,232
Deron Williams,10/26/16,3,1,-17,170
Kyle Lowry,10/26/16,4,1,179,223
J.J. Barea,10/26/16,2,1,127,237
Jeremy Lamb,10/26/16,2,0,-156,100
Wesley Matthews,10/26/16,1,0,63,165
J.J. Barea,10/26/16,1,0,-14,257
Cory Joseph,10/26/16,4,0,-140,97
DeMar DeRozan,10/26/16,3,1,164,2
DeMar DeRozan,10/26/16,3,1,164,13
DeMar DeRozan,10/26/16,3,1,96,126
DeMar DeRozan,10/26/16,3,0,82,105
Jeremy Lin,10/26/16,4,0,61,242
Deron Williams,10/26/16,3,1,43,178
DeMar DeRozan,10/26/16,2,1,12,159
DeMar DeRozan,10/26/16,3,1,50,188
Wesley Matthews,10/26/16,3,1,145,223
Kyle Lowry,10/26/16,1,1,-2,72
Dirk Nowitzki,10/26/16,2,1,-68,120
Deron Williams,10/26/16,3,1,-110,164
DeMar DeRozan,10/26/16,3,1,-63,203
Marvin Williams,10/26/16,2,0,-58,41
Deron Williams,10/26/16,2,1,-12,-1
J.J. Barea,10/26/16,1,0,-11,2
Dwight Powell,10/26/16,1,0,2,2
DeMarre Carroll,10/26/16,2,1,94,242
DeMar DeRozan,10/26/16,2,1,42,-6
Kemba Walker,10/26/16,1,1,6,3
Eric Gordon,10/26/16,2,1,-13,11
Cory Joseph,10/26/16,1,1,28,0
Kyle Lowry,10/26/16,1,0,64,134
Jeremy Lin,10/26/16,3,1,73,33
Kemba Walker,10/26/16,4,0,-29,183
Eric Gordon,10/26/16,1,1,-36,124
Kyle Lowry,10/26/16,2,0,-219,139
Dirk Nowitzki,10/26/16,4,1,153,75
Kemba Walker,10/26/16,1,0,-168,56
Jonas Valanciunas,10/26/16,4,0,-17,15
Jonas Valanciunas,10/26/16,4,1,-2,0
Jonas Valanciunas,10/26/16,3,0,10,18
Cody Zeller,10/26/16,3,1,-1,-1
Jonas Valanciunas,10/26/16,2,0,-1,27
DeMar DeRozan,10/26/16,1,0,-25,11
DeMar DeRozan,10/26/16,3,1,-106,16
DeMar DeRozan,10/26/16,4,0,-143,23
Jonas Valanciunas,10/26/16,2,1,-6,61
Luis Scola,10/26/16,2,0,-16,56
Dirk Nowitzki,10/26/16,2,1,-22,16
Dirk Nowitzki,10/26/16,1,0,-161,-11
Dirk Nowitzki,10/26/16,3,0,-83,169
Dirk Nowitzki,10/26/16,4,0,-4,61
Luis Scola,10/26/16,4,1,42,51
DeMar DeRozan,10/26/16,1,1,130,8
Luis Scola,10/26/16,3,1,-32,77
Jeremy Lin,10/26/16,2,1,-91,11
Jonas Valanciunas,10/26/16,1,0,-150,13
Raymond Felton,10/27/16,4,1,-19,-6
Raymond Felton,10/27/16,4,0,61,223
Raymond Felton,10/27/16,1,1,66,149
Jonas Valanciunas,10/28/16,1,1,0,1
Anthony Davis,10/28/16,1,0,-19,18
Anthony Davis,10/28/16,2,1,0,1
Marvin Williams,10/28/16,3,1,0,1
Dante Cunningham,10/28/16,2,1,0,8
Anthony Davis,10/28/16,4,1,-9,2
Luis Scola,10/28/16,2,1,28,7
Wesley Matthews,10/28/16,3,0,9,-1
Zaza Pachulia,10/28/16,1,1,-19,2
Dante Cunningham,10/28/16,2,1,-29,11
DeMar DeRozan,10/28/16,4,1,0,1
Jeremy Lamb,10/28/16,2,1,-1,31
Deron Williams,10/28/16,3,0,19,-1
DeMar DeRozan,10/28/16,3,0,74,18
DeMar DeRozan,10/28/16,4,0,71,3
DeMar DeRozan,10/28/16,3,0,40,33
Wesley Matthews,10/28/16,1,0,-19,51
Kyle Lowry,10/28/16,4,0,55,23
DeMar DeRozan,10/28/16,1,0,-45,2
Jeremy Lamb,10/28/16,3,1,-109,61
Kyle Lowry,10/28/16,1,0,42,36
DeMar DeRozan,10/28/16,4,0,33,38
DeMarre Carroll,10/28/16,2,0,-9,85
DeMar DeRozan,10/28/16,4,1,-4,36
Deron Williams,10/28/16,4,0,-48,38
DeMar DeRozan,10/28/16,1,1,6,70
DeMar DeRozan,10/28/16,3,0,1,97
Patrick Patterson,10/28/16,3,1,-29,62
Kyle Lowry,10/28/16,4,0,76,38
DeMarre Carroll,10/28/16,1,0,42,36
Kemba Walker,10/28/16,4,1,20,3
Jeremy Lin,10/28/16,4,1,28,-1
Kyle Lowry,10/28/16,3,0,-25,18
J.J. Barea,10/28/16,1,1,-11,2
J.J. Barea,10/28/16,2,0,-6,7
J.J. Barea,10/28/16,4,0,9,-1
Kyle Lowry,10/28/16,4,0,42,11
Cody Zeller,10/28/16,3,1,14,11
Kemba Walker,10/28/16,3,0,2,18
Kemba Walker,10/28/16,4,0,-1,18
Jeremy Lin,10/28/16,1,0,25,0
Kyle Lowry,10/28/16,4,1,9,11
Cody Zeller,10/28/16,1,1,33,8
Kemba Walker,10/28/16,2,1,9,21
Jeremy Lin,10/28/16,2,0,-9,7
Kemba Walker,10/28/16,2,0,20,11
Kyle Lowry,10/28/16,2,0,32,21
DeMar DeRozan,10/28/16,3,1,-1,2
DeMar DeRozan,10/28/16,1,0,-2,-1
Deron Williams,10/28/16,1,1,12,7
Jeremy Lamb,10/28/16,4,1,22,7
Omer Asik,10/28/16,1,1,0,1
Anthony Davis,10/28/16,4,1,0,1
Cody Zeller,10/28/16,3,1,-61,31
Nicolas Batum,10/28/16,1,0,104,100
Kyle Lowry,10/28/16,2,1,-115,121
J.J. Barea,10/28/16,2,0,-94,80
Wesley Matthews,10/28/16,3,1,58,85
Kemba Walker,10/28/16,4,1,2,115
Anthony Davis,10/28/16,2,1,-122,2
Wesley Matthews,10/28/16,1,1,42,85
Nicolas Batum,10/28/16,2,1,79,65
DeMar DeRozan,10/28/16,3,0,153,105
Eric Gordon,10/28/16,4,0,32,57
Kemba Walker,10/28/16,1,0,9,110
DeMar DeRozan,10/28/16,2,0,15,56
Anthony Davis,10/28/16,1,1,-4,110
Zaza Pachulia,10/28/16,2,1,10,36
Dwight Powell,10/28/16,2,1,-11,33
Zaza Pachulia,10/28/16,2,0,6,56
Kyle Lowry,10/28/16,4,0,213,237
Dante Cunningham,10/28/16,4,0,236,33
Jeremy Lamb,10/28/16,4,0,-230,61
Wesley Matthews,10/28/16,1,0,79,228
Eric Gordon,10/28/16,4,1,179,180
Patrick Patterson,10/28/16,2,1,141,223
Anthony Davis,10/28/16,3,1,132,77
Wesley Matthews,10/28/16,1,0,-227,38
Deron Williams,10/28/16,2,1,233,33
Jeremy Lamb,10/28/16,4,0,148,134
Jeremy Lamb,10/28/16,4,1,78,116
Nicolas Batum,10/28/16,4,1,-156,193
Patrick Patterson,10/28/16,1,0,-1,252
Deron Williams,10/28/16,4,0,192,169
Wesley Matthews,10/28/16,3,0,122,208
Dante Cunningham,10/28/16,3,0,-14,174
Marvin Williams,10/28/16,1,1,-235,33
Jeremy Lamb,10/28/16,2,1,92,139
Eric Gordon,10/28/16,3,0,-147,208
J.J. Barea,10/28/16,3,0,114,169
J.J. Barea,10/28/16,1,1,-160,51
J.J. Barea,10/28/16,3,0,181,169
J.J. Barea,10/28/16,2,0,-97,239
J.J. Barea,10/28/16,4,1,-125,208
Dante Cunningham,10/28/16,2,1,17,252
Jonas Valanciunas,10/28/16,1,0,9,146
Luis Scola,10/28/16,1,0,37,47
Wesley Matthews,10/28/16,4,0,197,149
Zaza Pachulia,10/28/16,1,1,-19,41
Kyle Lowry,10/28/16,1,1,-192,160
Nicolas Batum,10/28/16,3,0,-166,183
Wesley Matthews,10/28/16,4,1,-223,106
Anthony Davis,10/28/16,4,1,-112,41
Jeremy Lin,10/28/16,2,1,-9,267
Deron Williams,10/28/16,2,0,-209,224
Jeremy Lamb,10/28/16,2,0,192,156
Cody Zeller,10/28/16,1,0,-30,36
Wesley Matthews,10/28/16,4,0,158,193
Jeremy Lin,10/28/16,4,1,-2,149
Luis Scola,10/28/16,2,0,42,242
Kemba Walker,10/28/16,1,0,105,97
Nicolas Batum,10/28/16,1,0,74,139
Anthony Davis,10/28/16,4,0,-89,188
Jonas Valanciunas,10/28/16,3,1,-124,72
Jeremy Lin,10/28/16,1,0,-174,165
Patrick Patterson,10/28/16,2,0,-222,-15
Luis Scola,10/28/16,3,0,27,129
Marvin Williams,10/28/16,3,0,-176,170
Eric Gordon,10/28/16,4,0,-114,224
Wesley Matthews,10/28/16,4,0,232,57
DeMarre Carroll,10/28/16,2,1,-163,203
Eric Gordon,10/28/16,2,1,158,218
Anthony Davis,10/28/16,3,1,-96,232
DeMarre Carroll,10/28/16,1,0,235,110
Anthony Davis,10/28/16,1,0,-181,75
Anthony Davis,10/28/16,3,0,159,141
Anthony Davis,10/28/16,4,1,9,46
Nicolas Batum,10/28/16,1,0,-230,38
Cody Zeller,10/28/16,3,0,173,101
Dante Cunningham,10/28/16,4,0,-228,115
Dante Cunningham,10/28/16,3,0,213,124
Nicolas Batum,10/28/16,4,0,179,178
Dante Cunningham,10/28/16,4,1,207,141
Jeremy Lin,10/28/16,3,0,10,252
Anthony Davis,10/28/16,4,0,101,61
Anthony Davis,10/28/16,2,0,-9,174
Zaza Pachulia,10/28/16,1,1,-114,106
Kemba Walker,10/28/16,3,0,-207,131
Anthony Davis,10/28/16,1,0,-165,18
Nicolas Batum,10/28/16,1,1,-210,139
Dante Cunningham,10/28/16,2,1,158,198
Kemba Walker,10/28/16,4,0,33,262
Eric Gordon,10/28/16,1,1,200,141
Eric Gordon,10/28/16,2,0,-101,198
Deron Williams,10/28/16,3,0,158,190
Luis Scola,10/28/16,1,0,-163,203
DeMarre Carroll,10/28/16,2,1,-194,169
Jeremy Lamb,10/28/16,2,0,1,44
Wesley Matthews,10/28/16,3,1,-122,57
Anthony Davis,10/28/16,4,1,-81,21
Kemba Walker,10/28/16,3,0,-178,165
Patrick Patterson,10/28/16,4,0,122,232
Jeremy Lin,10/28/16,1,1,94,244
Kemba Walker,10/28/16,3,1,28,247
Anthony Davis,10/28/16,1,0,-233,7
Kyle Lowry,10/28/16,1,0,46,13
Jonas Valanciunas,10/28/16,1,0,-3,26
DeMar DeRozan,10/28/16,3,0,-117,234
Jeremy Lamb,10/28/16,4,1,55,106
Nicolas Batum,10/28/16,2,0,-187,170
Kemba Walker,10/28/16,3,1,-145,210
Eric Gordon,10/28/16,2,0,-233,11
DeMarre Carroll,10/28/16,2,0,-223,41
Anthony Davis,10/28/16,3,1,-150,95
Anthony Davis,10/28/16,3,1,24,33
Anthony Davis,10/28/16,4,0,-19,28
Nicolas Batum,10/28/16,1,0,-181,188
Anthony Davis,10/28/16,4,0,-30,8
Anthony Davis,10/28/16,4,0,-109,139
Marvin Williams,10/28/16,3,0,25,115
Patrick Patterson,10/28/16,2,0,-227,13
Kyle Lowry,10/28/16,3,0,-125,219
Cory Joseph,10/28/16,4,0,-217,-16
Dante Cunningham,10/28/16,2,0,17,18
Anthony Davis,10/28/16,2,0,-16,21
Zaza Pachulia,10/28/16,2,0,9,21
Cody Zeller,10/28/16,4,0,-19,13
Anthony Davis,10/28/16,4,0,-1,21
Anthony Davis,10/28/16,2,1,-2,26
Dante Cunningham,10/28/16,4,1,14,7
Anthony Davis,10/28/16,4,1,-29,3
Kemba Walker,10/28/16,2,0,22,21
Marvin Williams,10/28/16,2,0,22,18
Cory Joseph,10/28/16,4,0,-42,203
DeMar DeRozan,10/28/16,3,1,-9,139
Kemba Walker,10/28/16,3,1,20,170
Cody Zeller,10/28/16,3,1,28,31
Kyle Lowry,10/28/16,3,0,30,249
Deron Williams,10/28/16,1,0,-38,188
Kyle Lowry,10/28/16,2,0,-70,252
Jeremy Lin,10/28/16,1,1,81,195
DeMar DeRozan,10/28/16,2,0,114,77
DeMar DeRozan,10/28/16,4,0,-76,190
Cory Joseph,10/28/16,1,1,168,33
DeMar DeRozan,10/28/16,3,1,119,121
Jeremy Lin,10/28/16,4,0,-96,188
Deron Williams,10/28/16,1,1,43,120
Cory Joseph,10/28/16,4,1,-135,51
DeMar DeRozan,10/28/16,3,0,114,134
Cory Joseph,10/28/16,4,1,156,111
DeMar DeRozan,10/28/16,1,1,9,178
DeMarre Carroll,10/28/16,2,0,-92,169
Kemba Walker,10/28/16,1,0,87,136
DeMar DeRozan,10/28/16,1,1,14,178
DeMar DeRozan,10/28/16,3,0,-1,169
Cory Joseph,10/28/16,4,0,-132,56
Luis Scola,10/28/16,3,1,19,-5
Anthony Davis,10/28/16,1,0,11,9
DeMar DeRozan,10/28/16,3,1,-2,7
Kemba Walker,10/28/16,4,1,6,23
Jonas Valanciunas,10/28/16,2,1,30,-1
Anthony Davis,10/28/16,1,1,20,2
DeMar DeRozan,10/28/16,3,1,12,-6
Nicolas Batum,10/28/16,2,0,22,26
Anthony Davis,10/28/16,1,1,-50,72
DeMar DeRozan,10/28/16,3,1,135,126
J.J. Barea,10/28/16,1,0,-9,-6
Kyle Lowry,10/28/16,1,1,17,21
Kyle Lowry,10/28/16,1,1,15,7
Eric Gordon,10/28/16,1,1,2,-6
Jeremy Lamb,10/28/16,3,0,60,72
Cory Joseph,10/28/16,4,1,-1,8
Kemba Walker,10/28/16,2,0,6,16
Wesley Matthews,10/28/16,3,0,187,159
Wesley Matthews,10/28/16,3,0,115,13
Deron Williams,10/28/16,2,1,125,90
Jeremy Lin,10/28/16,3,0,32,110
Deron Williams,10/28/16,2,1,137,105
Anthony Davis,10/28/16,2,1,-107,110
DeMar DeRozan,10/28/16,1,1,0,188
Jonas Valanciunas,10/28/16,3,0,0,-1
Jonas Valanciunas,10/28/16,1,0,1,21
Jonas Valanciunas,10/28/16,1,0,6,15
Jonas Valanciunas,10/28/16,4,0,8,22
Jeremy Lamb,10/28/16,4,1,9,13
Jonas Valanciunas,10/28/16,1,0,6,11
DeMar DeRozan,10/28/16,2,0,-83,75
Nicolas Batum,10/28/16,3,0,107,52
Jonas Valanciunas,10/28/16,3,0,-60,16
Jonas Valanciunas,10/28/16,3,1,-25,7
Nicolas Batum,10/28/16,2,1,79,7
Jonas Valanciunas,10/28/16,3,0,22,56
Jonas Valanciunas,10/28/16,1,1,-133,21
Nicolas Batum,10/28/16,3,0,-96,80
Cody Zeller,10/28/16,4,0,86,3
DeMar DeRozan,10/28/16,4,0,164,47
Jeremy Lin,10/28/16,2,1,-169,72
Marvin Williams,10/28/16,1,1,-106,164
Jonas Valanciunas,10/28/16,2,0,-97,21
Jeremy Lamb,10/29/16,2,1,0,1
Frank Kaminsky,10/29/16,4,1,0,1
Cody Zeller,10/29/16,3,1,0,1
Frank Kaminsky,10/29/16,4,1,9,-1
Kemba Walker,10/29/16,4,1,-2,-1
Anthony Davis,10/29/16,3,1,-17,7
Kemba Walker,10/29/16,4,1,9,3
Kemba Walker,10/29/16,3,1,-6,11
Jeremy Lamb,10/29/16,2,1,151,85
Anthony Davis,10/29/16,2,1,-138,11
Nicolas Batum,10/29/16,1,1,28,154
Cody Zeller,10/29/16,4,1,12,46
Frank Kaminsky,10/29/16,2,0,9,61
Luis Scola,10/29/16,4,1,-25,95
Jeremy Lin,10/29/16,3,1,1,80
Dante Cunningham,10/29/16,4,1,235,8
Jeremy Lin,10/29/16,1,0,-27,183
Anthony Davis,10/29/16,1,0,81,154
Dante Cunningham,10/29/16,2,1,177,0
Luis Scola,10/29/16,4,1,6,267
Kemba Walker,10/29/16,3,1,96,228
Jeremy Lin,10/29/16,4,0,-130,229
Kemba Walker,10/29/16,4,1,-227,18
Nicolas Batum,10/29/16,3,0,-78,262
Frank Kaminsky,10/29/16,2,0,9,75
Marvin Williams,10/29/16,1,0,-68,237
Frank Kaminsky,10/29/16,4,0,-71,70
Frank Kaminsky,10/29/16,4,0,10,257
Frank Kaminsky,10/29/16,1,1,133,218
Kemba Walker,10/29/16,1,0,-56,232
Nicolas Batum,10/29/16,4,0,-225,11
Marvin Williams,10/29/16,3,1,30,252
Marvin Williams,10/29/16,4,0,-94,242
Jeremy Lamb,10/29/16,2,0,133,228
Kemba Walker,10/29/16,2,0,9,33
Kemba Walker,10/29/16,4,1,82,149
Nicolas Batum,10/29/16,3,0,-168,190
Jeremy Lamb,10/29/16,2,0,-230,36
Marvin Williams,10/29/16,3,0,-63,244
Marvin Williams,10/29/16,3,1,115,214
Dante Cunningham,10/29/16,4,0,-158,183
Jeremy Lamb,10/29/16,1,0,76,237
Jeremy Lamb,10/29/16,2,0,151,110
Anthony Davis,10/29/16,2,1,4,33
Marvin Williams,10/29/16,1,1,115,13
Jeremy Lin,10/29/16,1,1,-168,213
Jeremy Lin,10/29/16,2,0,-53,252
Jeremy Lin,10/29/16,4,0,78,252
Jeremy Lin,10/29/16,1,0,156,205
Luis Scola,10/29/16,2,1,-243,11
Nicolas Batum,10/29/16,3,0,28,247
Kemba Walker,10/29/16,1,0,-147,203
Anthony Davis,10/29/16,3,0,-106,16
Anthony Davis,10/29/16,1,1,-91,90
Marvin Williams,10/29/16,1,0,20,242
Dante Cunningham,10/29/16,4,1,-230,31
Kemba Walker,10/29/16,1,1,-6,146
Anthony Davis,10/29/16,2,0,99,11
Anthony Davis,10/29/16,2,0,9,100
Nicolas Batum,10/29/16,1,1,120,223
Anthony Davis,10/29/16,3,0,110,144
Jeremy Lin,10/29/16,1,0,-22,169
Jeremy Lin,10/29/16,3,0,230,-1
Marvin Williams,10/29/16,2,0,130,232
Jeremy Lin,10/29/16,2,0,96,120
Jeremy Lin,10/29/16,4,0,-4,56
Dante Cunningham,10/29/16,4,0,-81,11
Marvin Williams,10/29/16,1,0,151,198
Kemba Walker,10/29/16,3,1,-73,237
Cody Zeller,10/29/16,3,0,-34,198
Cody Zeller,10/29/16,4,0,-6,43
Anthony Davis,10/29/16,1,1,-2,36
Jeremy Lin,10/29/16,4,0,153,229
Anthony Davis,10/29/16,3,0,-96,139
Nicolas Batum,10/29/16,2,0,161,154
Marvin Williams,10/29/16,1,0,228,11
Luis Scola,10/29/16,1,1,4,-1
Kemba Walker,10/29/16,2,0,15,0
Jeremy Lin,10/29/16,2,0,-19,0
